original:8.0,epsilon:0.6,epsilon:0.8,epsilon:1.2,epsilon:2.5
8.0,8.95,8.13,7.87,8.29
8.0,6.98,7.15,4.88,8.41
8.0,8.82,9.51,5.43,7.80
8.0,8.07,6.75,8.00,7.60
8.0,6.48,10.26,7.67,7.31
8.0,7.46,8.02,7.51,8.57
8.0,6.66,7.21,8.87,6.76
8.0,10.10,10.37,10.12,7.96
8.0,6.05,10.35,7.80,8.25
8.0,10.39,10.67,9.94,8.02
8.0,5.88,9.38,7.52,7.09
8.0,8.15,9.32,8.65,7.77
8.0,7.76,6.98,8.83,7.52
8.0,11.80,9.31,8.07,7.70
8.0,6.80,8.89,7.77,8.12
8.0,2.89,9.52,8.42,8.01
8.0,5.79,11.19,7.74,7.63
8.0,7.47,9.14,7.48,7.99
8.0,10.28,8.43,7.97,7.37
8.0,11.19,7.74,8.63,8.04
8.0,5.57,7.79,6.65,7.30
8.0,9.11,8.46,5.85,8.02
8.0,6.39,5.06,6.01,7.34
8.0,10.05,9.16,7.87,7.64
8.0,7.11,8.61,10.31,7.77
8.0,7.04,6.78,10.40,7.84
8.0,8.56,6.93,8.68,8.17
8.0,8.34,7.65,7.88,7.98
8.0,6.84,8.11,8.85,7.83
8.0,10.29,7.64,6.85,8.19
8.0,4.74,5.41,6.72,8.66
8.0,9.37,5.88,8.10,7.78
8.0,8.94,2.10,6.56,7.84
8.0,7.31,6.48,8.36,7.69
8.0,5.85,8.24,7.16,7.99
8.0,7.89,8.70,6.52,8.02
8.0,8.94,9.12,7.73,8.05
8.0,15.41,7.36,8.58,7.96
8.0,6.94,9.56,6.74,8.46
8.0,7.89,5.57,7.87,8.02
8.0,7.84,9.51,6.97,7.68
8.0,10.20,5.66,6.84,7.38
8.0,9.29,6.67,8.42,8.32
8.0,4.83,6.31,5.53,6.33
8.0,1.87,8.07,7.77,7.56
8.0,8.18,8.67,7.98,7.58
8.0,9.39,6.78,8.95,7.98
8.0,9.07,6.26,8.34,8.26
8.0,8.01,7.52,5.19,8.34
8.0,8.87,8.41,7.33,7.45
8.0,1.91,7.28,9.64,8.49
8.0,7.10,8.26,8.29,8.21
8.0,9.98,6.76,7.67,7.79
8.0,7.96,10.65,8.08,8.34
8.0,5.74,5.03,8.44,8.60
8.0,6.18,9.46,7.07,7.76
8.0,7.03,7.52,9.18,7.59
8.0,6.61,8.90,7.19,7.91
8.0,7.60,10.08,7.66,8.42
8.0,6.10,8.32,7.55,8.69
8.0,8.46,8.12,7.85,7.92
8.0,11.72,6.62,7.84,7.69
8.0,7.08,9.30,8.50,7.78
8.0,3.19,7.94,7.64,7.51
8.0,5.67,8.19,7.86,7.82
8.0,8.29,12.65,8.78,8.11
8.0,8.83,9.06,8.17,8.17
8.0,10.13,7.36,7.13,7.55
8.0,8.35,8.83,10.06,8.17
8.0,9.62,7.24,8.35,7.05
8.0,9.39,6.53,8.50,8.00
8.0,4.78,8.76,9.05,8.02
8.0,7.19,7.16,6.89,7.13
8.0,6.43,10.86,8.32,8.59
8.0,8.34,8.48,7.64,8.88
8.0,8.74,7.70,8.09,7.32
8.0,7.74,8.61,8.37,7.92
8.0,10.20,7.12,8.09,8.08
8.0,6.81,6.94,7.83,8.50
8.0,4.03,7.97,7.71,8.50
8.0,8.28,4.43,8.68,7.82
8.0,7.45,9.61,10.43,7.68
8.0,8.05,7.72,8.29,8.63
8.0,6.83,8.07,8.20,8.08
8.0,7.46,6.58,9.59,8.15
8.0,9.30,8.12,7.97,7.82
8.0,6.21,10.80,8.32,8.54
8.0,5.94,8.19,8.07,8.35
8.0,7.83,7.99,8.79,8.68
8.0,7.13,8.14,10.12,8.52
8.0,9.96,6.55,7.73,8.31
8.0,8.16,7.86,8.28,6.95
8.0,0.06,8.37,8.50,8.36
8.0,8.60,8.02,8.14,7.75
8.0,8.77,7.93,8.36,7.94
8.0,7.90,6.48,8.24,8.95
8.0,7.15,7.49,8.70,8.28
8.0,8.48,5.33,7.77,7.81
8.0,10.45,6.60,7.36,8.03
8.0,7.68,8.21,7.20,9.36
