original:8.0,sensitivity:0.1,sensitivity:1.0,sensitivity:1.5,sensitivity:2.0
8.0,8.02,7.90,9.23,7.36
8.0,8.07,8.42,8.76,7.98
8.0,8.01,8.30,8.18,6.02
8.0,7.97,8.36,8.53,10.54
8.0,8.00,7.71,8.33,7.96
8.0,8.05,8.30,10.43,7.94
8.0,7.99,8.79,7.83,8.12
8.0,7.92,7.83,7.34,6.54
8.0,7.81,8.12,8.73,8.15
8.0,8.04,6.09,8.09,10.55
8.0,7.84,7.97,8.19,7.39
8.0,8.00,8.14,7.08,7.88
8.0,7.97,9.26,8.31,7.56
8.0,7.88,8.14,6.97,8.09
8.0,7.99,7.77,9.44,10.21
8.0,8.02,8.14,6.61,6.35
8.0,7.97,8.12,7.73,6.94
8.0,8.00,7.88,8.42,8.13
8.0,7.95,8.60,7.57,13.70
8.0,8.10,8.61,8.25,7.30
8.0,8.01,7.29,6.20,10.46
8.0,8.02,8.39,7.45,8.97
8.0,7.96,6.90,8.04,8.02
8.0,7.90,7.62,7.85,7.97
8.0,8.09,7.95,11.14,6.24
8.0,7.98,7.58,7.27,8.26
8.0,8.05,8.33,6.05,8.01
8.0,8.02,7.65,7.88,7.00
8.0,8.08,6.12,8.17,7.60
8.0,8.00,8.47,9.89,7.82
8.0,7.90,7.90,8.38,7.12
8.0,7.98,6.86,7.92,6.67
8.0,7.97,9.06,7.63,10.12
8.0,8.05,7.67,8.53,7.57
8.0,7.94,8.90,7.15,7.61
8.0,7.99,7.71,9.51,12.84
8.0,7.99,7.92,11.43,8.23
8.0,7.90,8.08,9.51,8.04
8.0,8.02,8.53,8.03,6.35
8.0,8.01,9.13,7.97,8.09
8.0,7.99,8.38,10.84,8.90
8.0,8.02,8.57,9.13,9.05
8.0,7.98,7.89,7.95,9.67
8.0,8.06,7.88,10.34,6.86
8.0,7.72,8.40,7.87,8.11
8.0,7.99,7.75,8.11,9.10
8.0,7.99,8.37,7.12,5.55
8.0,8.06,7.92,8.14,9.75
8.0,7.92,6.00,6.84,7.84
8.0,8.05,7.39,7.96,8.05
8.0,8.01,7.39,8.78,7.78
8.0,8.02,7.90,8.87,9.87
8.0,7.97,8.64,8.34,7.67
8.0,7.98,8.13,8.43,9.20
8.0,7.94,8.83,8.55,4.02
8.0,8.00,7.97,8.06,6.63
8.0,8.17,7.98,10.29,7.33
8.0,8.00,7.93,8.09,8.55
8.0,7.93,9.08,7.60,8.10
8.0,8.03,8.15,7.78,8.48
8.0,8.05,7.88,8.23,6.41
8.0,8.03,9.05,6.92,8.09
8.0,8.00,8.08,7.56,9.35
8.0,7.98,8.05,8.13,7.22
8.0,7.89,7.64,8.06,7.67
8.0,7.93,7.27,8.42,7.36
8.0,8.00,7.96,7.58,7.19
8.0,7.94,8.14,9.23,8.02
8.0,7.91,7.48,5.52,8.75
8.0,8.08,7.87,8.42,8.23
8.0,8.12,8.20,8.44,8.25
8.0,8.01,7.65,7.21,10.22
8.0,8.00,8.29,7.29,9.35
8.0,8.00,7.74,8.21,7.96
8.0,8.00,8.53,7.75,7.86
8.0,8.15,6.23,7.74,7.76
8.0,8.04,8.72,8.55,10.08
8.0,8.01,7.73,9.41,7.26
8.0,7.99,7.42,7.80,6.88
8.0,8.00,8.18,7.62,6.16
8.0,8.10,8.26,6.26,7.21
8.0,7.94,8.70,6.71,6.75
8.0,7.99,8.02,7.93,8.32
8.0,8.05,10.34,7.71,8.13
8.0,7.96,7.54,7.06,6.22
8.0,7.93,8.29,8.52,8.73
8.0,7.96,9.16,7.73,12.42
8.0,7.91,7.65,7.99,10.11
8.0,7.92,8.44,9.87,8.10
8.0,8.06,6.69,8.77,6.93
8.0,7.95,7.98,7.83,7.71
8.0,8.04,8.37,7.86,7.91
8.0,8.02,6.94,9.37,7.26
8.0,7.95,8.11,8.97,4.87
8.0,8.02,6.63,7.80,9.18
8.0,7.98,7.50,8.67,8.29
8.0,7.97,8.12,7.88,9.86
8.0,7.88,8.36,8.83,8.81
8.0,8.06,8.31,8.74,7.74
8.0,7.97,9.19,8.05,7.25
